index	value
0	3.954119165427983e-07
1	0.0043199555948376656
2	0.004320841748267412
3	0.008689931593835354
4	0.01721951551735401
5	0.017226528376340866
6	0.02164303883910179
7	0.021643666550517082
8	0.03448490425944328
9	0.038524944335222244
10	0.03852657601237297
11	0.04301286116242409
12	0.04304945096373558
13	0.055688776075839996
14	0.055689286440610886
15	0.06792137026786804
16	0.06794615834951401
17	0.07255231589078903
18	0.0725523829460144
19	0.07657606154680252
20	0.08492948114871979
21	0.08500514924526215
22	0.10503679513931274
23	0.105037160217762
24	0.10542133450508118
25	0.10542186349630356
26	0.10975331813097
27	0.10983399301767349
28	0.12192224711179733
29	0.12192252278327942
30	0.13365516066551208
31	0.1417677104473114
32	0.14188902080059052
33	0.14930874109268188
34	0.1493510901927948
35	0.1542336344718933
36	0.15423434972763062
37	0.1659778207540512
38	0.1661103218793869
39	0.16929811239242554
40	0.16929858922958374
41	0.18530778586864471
42	0.18530844151973724
43	0.2001948058605194
44	0.20019584894180298
45	0.2039632499217987
46	0.2051919847726822
47	0.2053215056657791
48	0.2117789387702942
49	0.21195487678050995
