index	value
0	3.6076357901038136e-07
1	0.011125613935291767
2	0.011132847517728806
3	0.011152178049087524
4	0.032982371747493744
5	0.03301636874675751
6	0.03304329887032509
7	0.033058419823646545
8	0.03310975059866905
9	0.058839861303567886
10	0.05884991213679314
11	0.058862898498773575
12	0.07195911556482315
13	0.07203042507171631
14	0.07218357175588608
15	0.0723021999001503
16	0.10461576282978058
17	0.10522038489580154
18	0.10527203232049942
19	0.10540399700403214
20	0.10553615540266037
21	0.11519787460565567
22	0.11533515155315399
23	0.11551099270582199
24	0.11561020463705063
25	0.15473182499408722
26	0.15533162653446198
27	0.1560322791337967
28	0.1572970300912857
29	0.1574140042066574
30	0.15756909549236298
31	0.1576758623123169
32	0.15787328779697418
33	0.17750631272792816
34	0.17771877348423004
35	0.17776672542095184
36	0.21203188598155975
37	0.21247899532318115
38	0.2128346562385559
39	0.21563448011875153
40	0.22064511477947235
41	0.22075997292995453
42	0.22088460624217987
43	0.220981627702713
44	0.22110900282859802
45	0.23806339502334595
46	0.2382134199142456
47	0.23828935623168945
48	0.23834073543548584
49	0.2775922417640686
