index	value
0	8.947826017902116e-07
1	0.005967332515865564
2	0.005968652665615082
3	0.011185643263161182
4	0.021817242726683617
5	0.022195277735590935
6	0.025901028886437416
7	0.025901662185788155
8	0.039145562797784805
9	0.04366398975253105
10	0.04366558790206909
11	0.045087747275829315
12	0.04665325954556465
13	0.05691967532038689
14	0.05692029371857643
15	0.06517395377159119
16	0.06778343766927719
17	0.06778457015752792
18	0.06794005632400513
19	0.07076581567525864
20	0.07635295391082764
21	0.07692290097475052
22	0.07804903388023376
23	0.08432091027498245
24	0.08432170748710632
25	0.0877729132771492
26	0.0877738744020462
27	0.08795198053121567
28	0.08873564004898071
29	0.08873727172613144
30	0.09157250821590424
31	0.09487750381231308
32	0.100183866918087
33	0.10018579661846161
34	0.10144173353910446
35	0.1021706834435463
36	0.10359672456979752
37	0.10681138932704926
38	0.11003409326076508
39	0.11003517359495163
40	0.11033234000205994
41	0.11052977293729782
42	0.11109530925750732
43	0.11657383292913437
44	0.11657488346099854
45	0.12056407332420349
46	0.1205667108297348
47	0.12251432240009308
48	0.12506131827831268
49	0.12623608112335205
