index	value
0	7.600135631946614e-07
1	0.01313952635973692
2	0.013349520042538643
3	0.013421333394944668
4	0.037326693534851074
5	0.037378404289484024
6	0.03746714070439339
7	0.03840213268995285
8	0.03880749270319939
9	0.06473494321107864
10	0.064913809299469
11	0.0658065602183342
12	0.07391732931137085
13	0.07487988471984863
14	0.07526910305023193
15	0.07645686715841293
16	0.1028592586517334
17	0.10306363552808762
18	0.10384533554315567
19	0.10444529354572296
20	0.10585108399391174
21	0.1108238622546196
22	0.11216174066066742
23	0.11227777600288391
24	0.11250589042901993
25	0.13832537829875946
26	0.1386171132326126
27	0.1395304948091507
28	0.1396694928407669
29	0.1408495008945465
30	0.14105536043643951
31	0.14195048809051514
32	0.14310038089752197
33	0.15735650062561035
34	0.15778093039989471
35	0.15924933552742004
36	0.1708601862192154
37	0.1711556613445282
38	0.17190678417682648
39	0.17689643800258636
40	0.17902866005897522
41	0.18052220344543457
42	0.1810847818851471
43	0.18222913146018982
44	0.18313826620578766
45	0.18958152830600739
46	0.1910891979932785
47	0.19235844910144806
48	0.19568443298339844
49	0.20456816256046295
